County Name,Year,GDP($K)
"Autauga, AL",2011,"1,311,442.00"
"Baldwin, AL",2011,"4,762,428.00"
"Barbour, AL",2011,"735,173.00"
"Bibb, AL",2011,"371,343.00"
"Blount, AL",2011,"765,726.00"
"Bullock, AL",2011,"228,788.00"
"Butler, AL",2011,"551,262.00"
"Calhoun, AL",2011,"4,256,139.00"
"Chambers, AL",2011,"672,518.00"
"Cherokee, AL",2011,"481,304.00"
"Chilton, AL",2011,"775,312.00"
"Choctaw, AL",2011,"509,390.00"
"Clarke, AL",2011,"749,869.00"
"Clay, AL",2011,"272,189.00"
"Cleburne, AL",2011,"247,494.00"
"Coffee, AL",2011,"1,159,820.00"
"Colbert, AL",2011,"2,379,580.00"
"Conecuh, AL",2011,"486,984.00"
"Coosa, AL",2011,"163,521.00"
"Covington, AL",2011,"1,033,542.00"
"Crenshaw, AL",2011,"362,135.00"
"Cullman, AL",2011,"2,164,800.00"
"Dale, AL",2011,"2,708,691.00"
"Dallas, AL",2011,"1,210,351.00"
"DeKalb, AL",2011,"1,511,446.00"
"Elmore, AL",2011,"1,526,868.00"
"Escambia, AL",2011,"1,259,045.00"
"Etowah, AL",2011,"2,748,762.00"
"Fayette, AL",2011,"472,079.00"
"Franklin, AL",2011,"899,784.00"
"Geneva, AL",2011,"460,412.00"
"Greene, AL",2011,"331,340.00"
"Hale, AL",2011,"298,890.00"
"Henry, AL",2011,"321,874.00"
"Houston, AL",2011,"4,039,261.00"
"Jackson, AL",2011,"1,484,551.00"
"Jefferson, AL",2011,"38,111,145.00"
"Lamar, AL",2011,"305,398.00"
"Lauderdale, AL",2011,"2,407,479.00"
"Lawrence, AL",2011,"805,084.00"
"Lee, AL",2011,"4,297,985.00"
"Limestone, AL",2011,"2,804,535.00"
"Lowndes, AL",2011,"495,291.00"
"Macon, AL",2011,"485,505.00"
"Madison, AL",2011,"19,319,367.00"
"Marengo, AL",2011,"649,580.00"
"Marion, AL",2011,"756,090.00"
"Marshall, AL",2011,"2,604,872.00"
"Mobile, AL",2011,"17,703,791.00"
"Monroe, AL",2011,"728,031.00"
"Montgomery, AL",2011,"12,004,808.00"
"Morgan, AL",2011,"4,369,405.00"
"Perry, AL",2011,"220,421.00"
"Pickens, AL",2011,"323,846.00"
