States,Year,GDP($M)
Alabama,2011,"181,349.80 "
Alabama,2019,"230,968.20 "
Alabama,2012,"186,299.00 "
Alabama,2016,"203,829.80 "
Alabama,2015,"200,402.70 "
Alabama,2013,"191,481.00 "
Alabama,2018,"221,735.50 "
Alabama,2014,"194,211.00 "
Alabama,2017,"210,364.40 "
Alaska,2019,"55,406.10 "
Alaska,2012,"57,670.10 "
Alaska,2016,"49,363.40 "
Alaska,2015,"50,641.60 "
Alaska,2017,"51,803.10 "
Alaska,2014,"55,523.40 "
Alaska,2011,"56,259.90 "
Alaska,2018,"54,734.10 "
Alaska,2013,"56,622.80 "
Arizona,2016,"311,091.00 "
Arizona,2017,"327,495.80 "
Arizona,2019,"366,189.90 "
Arizona,2018,"348,297.10 "
Arizona,2011,"257,947.80 "
Arizona,2015,"297,141.20 "
Arizona,2013,"275,199.10 "
Arizona,2012,"268,288.80 "
Arizona,2014,"284,430.00 "
Arkansas,2011,"106,085.40 "
Arkansas,2012,"108,745.20 "
Arkansas,2014,"117,336.70 "
Arkansas,2017,"123,383.10 "
Arkansas,2013,"114,251.50 "
Arkansas,2015,"118,761.20 "
Arkansas,2019,"133,180.90 "
Arkansas,2018,"128,418.90 "
Arkansas,2016,"120,374.80 "
California,2014,"2,395,162.30 "
California,2017,"2,819,110.70 "
California,2013,"2,262,771.20 "
California,2018,"2,997,732.80 "
California,2019,"3,137,469.00 "
California,2012,"2,144,497.30 "
California,2015,"2,553,772.20 "
California,2016,"2,657,797.60 "
California,2011,"2,050,056.80 "
Colorado,2016,"329,368.30 "
Colorado,2019,"390,283.90 "
Colorado,2013,"288,305.20 "
Colorado,2011,"264,431.60 "
Colorado,2015,"318,554.90 "
Colorado,2017,"350,004.40 "
Colorado,2014,"306,571.10 "
Colorado,2018,"371,749.60 "
Colorado,2012,"273,519.50 "
Connecticut,2014,"248,865.20 "
Connecticut,2018,"275,726.90 "
Connecticut,2012,"243,801.00 "
Connecticut,2015,"260,072.60 "
Connecticut,2011,"236,523.70 "
Connecticut,2013,"246,632.00 "
Connecticut,2019,"285,640.40 "
Connecticut,2016,"263,696.40 "
Connecticut,2017,"268,310.50 "
Delaware,2014,"66,891.00 "
Delaware,2015,"70,969.40 "
Delaware,2018,"73,481.30 "
Delaware,2016,"69,549.70 "
Delaware,2011,"60,357.40 "
Delaware,2013,"60,666.10 "
Delaware,2019,"75,415.50 "
Delaware,2017,"70,774.80 "
Delaware,2012,"61,975.80 "
District of Columbia,2017,"134,042.70 "
District of Columbia,2015,"125,211.90 "
District of Columbia,2018,"140,660.90 "
District of Columbia,2011,"110,076.20 "
District of Columbia,2019,"146,194.30 "
District of Columbia,2014,"119,841.00 "
District of Columbia,2016,"129,826.10 "
District of Columbia,2013,"114,891.00 "
District of Columbia,2012,"112,736.50 "
Florida,2016,"938,774.20 "
Florida,2011,"746,787.50 "
Florida,2019,"1,093,350.70 "
Florida,2018,"1,039,236.40 "
Florida,2012,"769,309.10 "
Florida,2013,"800,704.10 "
Florida,2017,"985,665.40 "
Florida,2015,"895,146.20 "
Florida,2014,"839,484.10 "
Georgia,2019,"616,333.30 "
Georgia,2013,"460,585.10 "
Georgia,2018,"592,153.40 "
Georgia,2012,"444,132.20 "
Georgia,2016,"539,525.10 "
Georgia,2014,"485,816.70 "
Georgia,2015,"513,565.60 "
Georgia,2017,"566,473.60 "
Georgia,2011,"429,574.00 "
Hawaii,2019,"97,281.70 "
Hawaii,2016,"85,843.80 "
Hawaii,2017,"89,428.90 "
Hawaii,2015,"82,710.00 "
Hawaii,2014,"77,854.30 "
Hawaii,2012,"73,582.70 "
Hawaii,2018,"93,797.90 "
Hawaii,2013,"75,788.30 "
Hawaii,2011,"70,482.60 "
Idaho,2016,"69,029.40 "
Idaho,2014,"63,521.80 "
Idaho,2017,"72,723.20 "
Idaho,2015,"66,004.30 "
Idaho,2013,"61,017.70 "
Idaho,2018,"77,052.00 "
Idaho,2012,"57,764.40 "
Idaho,2019,"80,911.00 "
Idaho,2011,"56,488.10 "
Illinois,2016,"806,315.50 "
Illinois,2017,"826,817.80 "
Illinois,2011,"688,288.90 "
Illinois,2015,"792,999.40 "
Illinois,2018,"865,310.40 "
Illinois,2014,"765,347.70 "
Illinois,2012,"720,702.30 "
Illinois,2013,"739,627.90 "
Illinois,2019,"897,123.50 "
Indiana,2014,"324,934.50 "
Indiana,2018,"366,800.50 "
Indiana,2017,"351,105.60 "
Indiana,2012,"297,552.70 "
Indiana,2019,"377,104.30 "
Indiana,2016,"338,126.10 "
Indiana,2013,"308,681.70 "
Indiana,2011,"288,749.10 "
Indiana,2015,"330,032.20 "
Iowa,2012,"157,250.80 "
Iowa,2013,"160,299.80 "
Iowa,2017,"181,846.30 "
Iowa,2011,"147,227.00 "
Iowa,2018,"189,701.60 "
Iowa,2015,"178,472.60 "
Iowa,2016,"179,546.60 "
Iowa,2019,"194,788.70 "
Iowa,2014,"171,561.00 "
Kansas,2019,"173,142.50 "
Kansas,2013,"143,220.70 "
Kansas,2015,"152,374.10 "
Kansas,2016,"156,857.40 "
Kansas,2018,"168,318.00 "
Kansas,2011,"135,315.30 "
Kansas,2017,"161,219.60 "
Kansas,2012,"140,477.80 "
Kansas,2014,"148,225.60 "
