County Name,Year,Populations
"Autauga, AL",2011,"55,208"
"Baldwin, AL",2011,"186,540"
"Barbour, AL",2011,"27,350"
"Bibb, AL",2011,"22,747"
"Blount, AL",2011,"57,554"
"Bullock, AL",2011,"10,677"
"Butler, AL",2011,"20,878"
"Calhoun, AL",2011,"117,797"
"Chambers, AL",2011,"34,030"
"Cherokee, AL",2011,"25,994"
"Chilton, AL",2011,"43,687"
"Choctaw, AL",2011,"13,607"
"Clarke, AL",2011,"25,582"
"Clay, AL",2011,"13,686"
"Cleburne, AL",2011,"14,928"
"Coffee, AL",2011,"50,435"
"Colbert, AL",2011,"54,535"
"Conecuh, AL",2011,"13,192"
"Coosa, AL",2011,"11,487"
"Covington, AL",2011,"38,019"
"Crenshaw, AL",2011,"13,899"
"Cullman, AL",2011,"80,401"
"Dale, AL",2011,"50,112"
"Dallas, AL",2011,"43,256"
"DeKalb, AL",2011,"71,352"
"Elmore, AL",2011,"80,009"
"Escambia, AL",2011,"38,201"
"Etowah, AL",2011,"104,358"
"Fayette, AL",2011,"17,047"
"Franklin, AL",2011,"31,771"
"Geneva, AL",2011,"26,759"
"Greene, AL",2011,"8,905"
"Hale, AL",2011,"15,358"
"Henry, AL",2011,"17,377"
"Houston, AL",2011,"102,470"
"Jackson, AL",2011,"53,209"
"Jefferson, AL",2011,"657,973"
"Lamar, AL",2011,"14,287"
"Lauderdale, AL",2011,"92,606"
"Lawrence, AL",2011,"34,049"
"Lee, AL",2011,"144,130"
"Limestone, AL",2011,"85,542"
"Lowndes, AL",2011,"11,139"
"Macon, AL",2011,"21,281"
"Madison, AL",2011,"339,527"
"Marengo, AL",2011,"20,651"
"Marion, AL",2011,"30,651"
"Marshall, AL",2011,"93,892"
"Mobile, AL",2011,"413,242"
"Monroe, AL",2011,"22,796"
"Montgomery, AL",2011,"229,168"
"Morgan, AL",2011,"120,013"
"Perry, AL",2011,"10,455"
"Pickens, AL",2011,"19,354"
"Pike, AL",2011,"33,017"
"Randolph, AL",2011,"22,743"
"Russell, AL",2011,"54,831"
"St. Clair, AL",2011,"83,963"
"Shelby, AL",2011,"197,992"
"Sumter, AL",2011,"13,491"
"Talladega, AL",2011,"81,777"
"Tallapoosa, AL",2011,"41,397"
"Tuscaloosa, AL",2011,"196,719"
"Walker, AL",2011,"66,577"
"Washington, AL",2011,"17,354"
"Wilcox, AL",2011,"11,442"
"Winston, AL",2011,"24,358"
"Aleutians East Borough, AK*",2011,"3,260"
"Aleutians West Census Area, AK*",2011,"5,581"
"Anchorage Municipality, AK",2011,"296,154"
"Bethel Census Area, AK*",2011,"17,415"
"Bristol Bay Borough, AK",2011,"1,030"
"Denali Borough, AK*",2011,"1,872"
"Dillingham Census Area, AK*",2011,"4,948"
"Fairbanks North Star Borough, AK",2011,"98,104"
"Haines Borough, AK",2011,"2,573"
"Hoonah-Angoon Census Area, AK*",2011,"2,091"
"Juneau City and Borough, AK",2011,"32,152"
"Kenai Peninsula Borough, AK",2011,"56,302"
"Ketchikan Gateway Borough, AK*",2011,"13,665"
"Kodiak Island Borough, AK",2011,"13,806"
"Kusilvak Census Area, AK*",2011,"7,648"
