Industries,Year,Salary($)
 Construction,2017,"63,438.00"
 Construction,2013,"55,992.00"
 Construction,2019,"67,503.00"
 Construction,2012,"55,371.00"
 Construction,2014,"57,770.00"
 Construction,2015,"59,692.00"
 Construction,2018,"65,484.00"
 Construction,2016,"61,374.00"
 Primary metals,2017,"70,862.00"
 Primary metals,2013,"64,342.00"
 Primary metals,2019,"73,712.00"
 Primary metals,2014,"66,722.00"
 Primary metals,2018,"73,585.00"
 Primary metals,2015,"66,640.00"
 Primary metals,2012,"63,817.00"
 Primary metals,2016,"67,330.00"
 Utilities,2012,"96,791.00"
 Utilities,2016,"106,005.00"
 Utilities,2019,"117,030.00"
 Utilities,2015,"104,941.00"
 Utilities,2014,"101,281.00"
 Utilities,2018,"113,758.00"
 Utilities,2013,"98,795.00"
 Utilities,2017,"110,850.00"
Accommodation,2016,"38,694.00"
Accommodation,2019,"42,569.00"
Accommodation,2013,"35,586.00"
Accommodation,2017,"40,018.00"
Accommodation,2014,"37,036.00"
Accommodation,2012,"35,204.00"
Accommodation,2018,"41,240.00"
Accommodation,2015,"38,027.00"
Administrative and support services,2013,"38,344.00"
Administrative and support services,2018,"44,297.00"
Administrative and support services,2014,"39,162.00"
Administrative and support services,2019,"46,507.00"
Administrative and support services,2012,"38,267.00"
Administrative and support services,2015,"40,414.00"
Administrative and support services,2017,"42,822.00"
Administrative and support services,2016,"41,277.00"
Air transportation,2017,"94,928.00"
Air transportation,2014,"80,317.00"
Air transportation,2013,"77,843.00"
Air transportation,2016,"92,318.00"
Air transportation,2015,"84,815.00"
Air transportation,2019,"98,467.00"
Air transportation,2018,"96,781.00"
Air transportation,2012,"70,419.00"
Ambulatory health care services,2017,"68,392.00"
Ambulatory health care services,2013,"63,834.00"
Ambulatory health care services,2014,"64,681.00"
Ambulatory health care services,2019,"71,716.00"
Ambulatory health care services,2015,"66,606.00"
Ambulatory health care services,2016,"67,532.00"
Ambulatory health care services,2012,"63,320.00"
Ambulatory health care services,2018,"69,748.00"
"Amusements, gambling, and recreation industries",2014,"30,968.00"
"Amusements, gambling, and recreation industries",2019,"34,370.00"
"Amusements, gambling, and recreation industries",2012,"30,115.00"
"Amusements, gambling, and recreation industries",2017,"33,021.00"
"Amusements, gambling, and recreation industries",2016,"32,525.00"
"Amusements, gambling, and recreation industries",2015,"32,113.00"
"Amusements, gambling, and recreation industries",2018,"33,259.00"
"Amusements, gambling, and recreation industries",2013,"30,255.00"
Apparel and leather and allied products,2015,"41,853.00"
Apparel and leather and allied products,2012,"38,725.00"
Apparel and leather and allied products,2014,"41,074.00"
Apparel and leather and allied products,2016,"43,238.00"
Apparel and leather and allied products,2013,"39,112.00"
Apparel and leather and allied products,2018,"45,661.00"
Apparel and leather and allied products,2017,"44,401.00"
Apparel and leather and allied products,2019,"47,607.00"
Broadcasting and telecommunications,2014,"83,897.00"
Broadcasting and telecommunications,2012,"80,439.00"
Broadcasting and telecommunications,2013,"82,207.00"
Broadcasting and telecommunications,2018,"93,346.00"
Broadcasting and telecommunications,2017,"90,896.00"
Broadcasting and telecommunications,2019,"98,123.00"
Broadcasting and telecommunications,2015,"86,049.00"
Broadcasting and telecommunications,2016,"88,509.00"
Chemical products,2012,"89,502.00"
Chemical products,2018,"98,811.00"
Chemical products,2015,"98,475.00"
Chemical products,2013,"90,970.00"
