Industries,Year,Total Employees
Farms,2012,"780,000"
"Forestry, fishing, and related activities",2012,"547,000"
Oil and gas extraction,2012,"188,000"
"Mining, except oil and gas",2012,"218,000"
Support activities for mining,2012,"389,000"
 Utilities,2012,"551,000"
 Construction,2012,"5,761,000"
Wood products,2012,"341,000"
Nonmetallic mineral products,2012,"366,000"
 Primary metals,2012,"405,000"
Fabricated metal products,2012,"1,408,000"
Machinery,2012,"1,100,000"
Computer and electronic products,2012,"1,092,000"
"Electrical equipment, appliances, and components",2012,"373,000"
"Motor vehicles, bodies and trailers, and parts",2012,"778,000"
Other transportation equipment,2012,"681,000"
Furniture and related products,2012,"354,000"
Miscellaneous manufacturing,2012,"580,000"
Food and beverage and tobacco products,2012,"1,657,000"
Textile mills and textile product mills,2012,"236,000"
Apparel and leather and allied products,2012,"178,000"
Paper products,2012,"380,000"
Printing and related support activities,2012,"460,000"
Petroleum and coal products,2012,"111,000"
Chemical products,2012,"788,000"
Plastics and rubber products,2012,"646,000"
Motor vehicle and parts dealers,2012,"1,756,000"
Food and beverage stores,2012,"2,895,000"
General merchandise stores,2012,"3,111,000"
Other retail2,2012,"7,244,000"
Air transportation,2012,"463,000"
Rail transportation,2012,"198,000"
Water transportation,2012,"66,000"
Truck transportation,2012,"1,373,000"
Transit and ground passenger transportation,2012,"452,000"
Pipeline transportation,2012,"44,000"
Other transportation and support activities3,2012,"1,146,000"
Warehousing and storage,2012,"678,000"
Publishing industries (includes software),2012,"841,000"
Motion picture and sound recording industries,2012,"382,000"
Broadcasting and telecommunications,2012,"1,142,000"
Information and data processing services,2012,"335,000"
"Federal Reserve banks, credit intermediation, and related activities",2012,"2,607,000"
"Securities, commodity contracts, and investments",2012,"858,000"
Insurance carriers and related activities,2012,"2,381,000"
"Funds, trusts, and other financial vehicles",2012,"3,000"
Real estate,2012,"1,458,000"
Rental and leasing services and lessors of intangible assets4,2012,"536,000"
Legal services,2012,"1,136,000"
Computer systems design and related services,2012,"1,634,000"
