CAINC4 Personal Income and Employment by Major Component,,,,,,,,,
Per capita personal income (Dollars) 4/ ,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,
County,,,,,,,,,
GeoFips,GeoName,2011,2012,2013,2014,2015,2016,2017,2018
1001,"Autauga, AL",34349,35078,35492,36699,38746,39561,40450,41618
1003,"Baldwin, AL",37885,38259,38271,39605,41449,42907,43989,45596
1005,"Barbour, AL",28154,28200,30083,29920,31361,31595,33048,35199
1007,"Bibb, AL",25991,27046,27424,28255,28907,28799,29081,30254
1009,"Blount, AL",28403,29653,30224,31415,32093,32389,33533,34976
1011,"Bullock, AL",24139,25224,26147,25087,26359,26655,27442,28797
1013,"Butler, AL",28860,30099,31501,32862,33483,33501,34733,36450
1015,"Calhoun, AL",31907,32383,32044,33112,34182,34774,35721,37120
1017,"Chambers, AL",28697,29339,29640,30537,31506,32470,32583,33859
1019,"Cherokee, AL",28908,29608,30731,31688,33132,32826,33852,35505
1021,"Chilton, AL",28736,29510,29752,30613,31830,32204,33416,34798
1023,"Choctaw, AL",29773,32025,33942,35104,35317,35676,36603,39280
1025,"Clarke, AL",29541,30162,31293,32611,33683,34436,34777,36361
1027,"Clay, AL",26745,27420,28127,29443,30921,31149,32017,33530
1029,"Cleburne, AL",28738,30199,31363,32578,33441,33708,34862,36159
1031,"Coffee, AL",36055,36178,37371,38258,39664,40386,41268,43094
1033,"Colbert, AL",32733,32968,33467,34818,35716,36289,37073,38378
1035,"Conecuh, AL",26874,27290,28999,29059,30102,30308,31267,32656
1037,"Coosa, AL",25217,25862,26258,26898,28076,29174,29926,31328
1039,"Covington, AL",29485,30357,30857,31668,32468,33014,34393,35651
1041,"Crenshaw, AL",29197,30492,33272,34199,36105,34405,35823,36645
1043,"Cullman, AL",31085,32703,34251,35144,36856,36649,38158,39607
1045,"Dale, AL",33800,33412,33584,33697,34197,34492,35200,36613
1047,"Dallas, AL",29500,29694,30378,30750,32124,33454,34282,36026
1049,"DeKalb, AL",25744,27115,27942,28902,29844,29446,30682,31916
1051,"Elmore, AL",35216,35847,35779,36665,38484,39587,40966,42269
1053,"Escambia, AL",28001,29209,29617,29766,30340,30404,31641,32996
1055,"Etowah, AL",30930,31573,31611,32884,34077,34792,35542,36918
1057,"Fayette, AL",27462,28723,29577,30747,32221,32533,33492,34966
1059,"Franklin, AL",28190,28453,28811,30044,31215,30940,32422,34318
