County Name,Year,Income Per Capita($)
"Autauga, AL",2011,"34,349"
"Baldwin, AL",2011,"37,885"
"Barbour, AL",2011,"28,154"
"Bibb, AL",2011,"25,991"
"Blount, AL",2011,"28,403"
"Bullock, AL",2011,"24,139"
"Butler, AL",2011,"28,860"
"Calhoun, AL",2011,"31,907"
"Chambers, AL",2011,"28,697"
"Cherokee, AL",2011,"28,908"
"Chilton, AL",2011,"28,736"
"Choctaw, AL",2011,"29,773"
"Clarke, AL",2011,"29,541"
"Clay, AL",2011,"26,745"
"Cleburne, AL",2011,"28,738"
"Coffee, AL",2011,"36,055"
"Colbert, AL",2011,"32,733"
"Conecuh, AL",2011,"26,874"
"Coosa, AL",2011,"25,217"
"Covington, AL",2011,"29,485"
"Crenshaw, AL",2011,"29,197"
"Cullman, AL",2011,"31,085"
"Dale, AL",2011,"33,800"
"Dallas, AL",2011,"29,500"
"DeKalb, AL",2011,"25,744"
"Elmore, AL",2011,"35,216"
"Escambia, AL",2011,"28,001"
"Etowah, AL",2011,"30,930"
"Fayette, AL",2011,"27,462"
"Franklin, AL",2011,"28,190"
"Geneva, AL",2011,"29,383"
"Greene, AL",2011,"27,627"
"Hale, AL",2011,"30,402"
"Henry, AL",2011,"32,611"
"Houston, AL",2011,"36,692"
"Jackson, AL",2011,"30,314"
"Jefferson, AL",2011,"43,588"
"Lamar, AL",2011,"28,369"
"Lauderdale, AL",2011,"32,090"
"Lawrence, AL",2011,"28,333"
"Lee, AL",2011,"30,784"
"Limestone, AL",2011,"35,263"
"Lowndes, AL",2011,"31,416"
"Macon, AL",2011,"26,325"
"Madison, AL",2011,"43,515"
"Marengo, AL",2011,"31,940"
"Marion, AL",2011,"26,223"
"Marshall, AL",2011,"29,684"
"Mobile, AL",2011,"33,723"
"Monroe, AL",2011,"27,716"
"Montgomery, AL",2011,"37,519"
"Morgan, AL",2011,"33,081"
"Perry, AL",2011,"27,007"
"Pickens, AL",2011,"29,592"
"Pike, AL",2011,"32,395"
"Randolph, AL",2011,"26,638"
"Russell, AL",2011,"29,664"
"St. Clair, AL",2011,"30,917"
"Shelby, AL",2011,"43,918"
"Sumter, AL",2011,"27,142"
"Talladega, AL",2011,"28,809"
"Tallapoosa, AL",2011,"32,919"
"Tuscaloosa, AL",2011,"33,295"
"Walker, AL",2011,"34,308"
"Washington, AL",2011,"30,651"
"Wilcox, AL",2011,"26,925"
"Winston, AL",2011,"27,684"
"Aleutians East Borough, AK*",2011,"37,181"
"Aleutians West Census Area, AK*",2011,"46,258"
"Anchorage Municipality, AK",2011,"58,954"
"Bethel Census Area, AK*",2011,"36,912"
"Bristol Bay Borough, AK",2011,"79,747"
"Denali Borough, AK*",2011,"67,847"
"Dillingham Census Area, AK*",2011,"47,306"
"Fairbanks North Star Borough, AK",2011,"50,964"
"Haines Borough, AK",2011,"44,746"
"Hoonah-Angoon Census Area, AK*",2011,"46,324"
"Juneau City and Borough, AK",2011,"58,179"
"Kenai Peninsula Borough, AK",2011,"45,936"
"Ketchikan Gateway Borough, AK*",2011,"57,074"
"Kodiak Island Borough, AK",2011,"52,216"
"Kusilvak Census Area, AK*",2011,"26,928"
"Lake and Peninsula Borough, AK*",2011,"46,379"
"Matanuska-Susitna Borough, AK",2011,"42,918"
"Nome Census Area, AK*",2011,"42,227"
"North Slope Borough, AK",2011,"62,124"
"Northwest Arctic Borough, AK",2011,"39,193"
"Petersburg Borough, AK*",2011,"53,880"
"Prince of Wales-Hyder Census Area, AK*",2011,"34,727"
"Sitka City and Borough, AK",2011,"58,608"
"Skagway Municipality, AK*",2011,"76,295"
"Southeast Fairbanks Census Area, AK*",2011,"43,074"
"Valdez-Cordova Census Area, AK*",2011,"51,443"
"Wrangell City and Borough, AK*",2011,"41,534"
"Yakutat City and Borough, AK*",2011,"53,540"
"Yukon-Koyukuk Census Area, AK*",2011,"46,320"
"Apache, AZ",2011,"27,512"
"Cochise, AZ",2011,"35,211"
"Coconino, AZ",2011,"37,094"
"Gila, AZ",2011,"31,527"
"Graham, AZ",2011,"25,455"
"Greenlee, AZ",2011,"31,153"
"La Paz, AZ*",2011,"27,666"
"Maricopa, AZ",2011,"37,592"
"Mohave, AZ",2011,"25,501"
"Navajo, AZ",2011,"25,716"
"Pima, AZ",2011,"35,264"
"Pinal, AZ",2011,"24,583"
"Santa Cruz, AZ",2011,"30,667"
"Yavapai, AZ",2011,"30,022"
"Yuma, AZ*",2011,"27,959"
"Arkansas, AR",2011,"36,497"
"Ashley, AR",2011,"31,586"
"Baxter, AR",2011,"29,997"
"Benton, AR",2011,"56,332"
"Boone, AR",2011,"29,206"
"Bradley, AR",2011,"29,014"
"Calhoun, AR",2011,"27,290"
"Carroll, AR",2011,"24,759"
"Chicot, AR",2011,"30,683"
"Clark, AR",2011,"28,847"
"Clay, AR",2011,"29,062"
"Cleburne, AR",2011,"31,154"
"Cleveland, AR",2011,"28,650"
"Columbia, AR",2011,"31,598"
"Conway, AR",2011,"32,031"
"Craighead, AR",2011,"32,299"
"Crawford, AR",2011,"28,076"
"Crittenden, AR",2011,"30,756"
"Cross, AR",2011,"30,720"
"Dallas, AR",2011,"27,668"
"Desha, AR",2011,"33,057"
"Drew, AR",2011,"31,387"
"Faulkner, AR",2011,"32,092"
"Franklin, AR",2011,"26,610"
"Fulton, AR",2011,"24,213"
"Garland, AR",2011,"33,073"
"Grant, AR",2011,"31,806"
"Greene, AR",2011,"28,592"
"Hempstead, AR",2011,"26,047"
"Hot Spring, AR",2011,"26,097"
"Howard, AR",2011,"26,700"
"Independence, AR",2011,"29,975"
"Izard, AR",2011,"25,337"
"Jackson, AR",2011,"28,406"
"Jefferson, AR",2011,"30,275"
"Johnson, AR",2011,"24,059"
"Lafayette, AR",2011,"27,130"
"Lawrence, AR",2011,"26,188"
"Lee, AR",2011,"27,826"
"Lincoln, AR",2011,"21,590"
"Little River, AR",2011,"29,865"
"Logan, AR",2011,"27,661"
"Lonoke, AR",2011,"33,089"
"Madison, AR",2011,"24,582"
"Marion, AR",2011,"24,486"
"Miller, AR",2011,"29,618"
"Mississippi, AR",2011,"31,118"
"Monroe, AR",2011,"28,726"
"Montgomery, AR",2011,"23,767"
"Nevada, AR",2011,"28,046"
"Newton, AR",2011,"23,309"
"Ouachita, AR",2011,"31,269"
"Perry, AR",2011,"30,402"
"Phillips, AR",2011,"28,592"
"Pike, AR",2011,"26,459"
"Poinsett, AR",2011,"28,365"
"Polk, AR",2011,"24,130"
"Pope, AR",2011,"29,347"
"Prairie, AR",2011,"28,612"
"Pulaski, AR",2011,"42,392"
"Randolph, AR",2011,"26,749"
"St. Francis, AR",2011,"24,684"
"Saline, AR",2011,"35,022"
"Scott, AR",2011,"22,028"
"Searcy, AR",2011,"25,040"
"Sebastian, AR",2011,"35,497"
"Sevier, AR",2011,"23,585"
"Sharp, AR",2011,"26,465"
"Stone, AR",2011,"25,115"
"Union, AR",2011,"40,597"
"Van Buren, AR",2011,"27,143"
"Washington, AR",2011,"30,001"
"White, AR",2011,"30,414"
"Woodruff, AR",2011,"29,983"
"Yell, AR",2011,"25,728"
"Alameda, CA",2011,"51,278"
"Alpine, CA",2011,"57,038"
"Amador, CA",2011,"35,527"
"Butte, CA",2011,"34,428"
"Calaveras, CA",2011,"38,181"
"Colusa, CA",2011,"41,365"
"Contra Costa, CA",2011,"57,705"
"Del Norte, CA",2011,"28,681"
"El Dorado, CA",2011,"50,455"
"Fresno, CA",2011,"33,428"
"Glenn, CA",2011,"35,026"
"Humboldt, CA",2011,"37,214"
"Imperial, CA",2011,"31,763"
"Inyo, CA",2011,"44,229"
"Kern, CA",2011,"32,710"
"Kings, CA",2011,"29,732"
"Lake, CA",2011,"32,054"
"Lassen, CA",2011,"29,098"
"Los Angeles, CA",2011,"46,469"
"Madera, CA",2011,"29,992"
"Marin, CA",2011,"90,962"
"Mariposa, CA",2011,"37,228"
"Mendocino, CA",2011,"38,949"
"Merced, CA",2011,"30,554"
"Modoc, CA",2011,"37,400"
"Mono, CA",2011,"41,606"
"Monterey, CA",2011,"42,404"
