County Name,Year,Total Employments
"Autauga, AL",2011,"17,298"
"Baldwin, AL",2011,"92,000"
"Barbour, AL",2011,"12,359"
"Bibb, AL",2011,"6,249"
"Blount, AL",2011,"14,657"
"Bullock, AL",2011,"3,970"
"Butler, AL",2011,"9,382"
"Calhoun, AL",2011,"60,613"
"Chambers, AL",2011,"12,315"
"Cherokee, AL",2011,"7,741"
"Chilton, AL",2011,"13,256"
"Choctaw, AL",2011,"5,503"
"Clarke, AL",2011,"12,081"
"Clay, AL",2011,"5,550"
"Cleburne, AL",2011,"4,255"
"Coffee, AL",2011,"20,996"
"Colbert, AL",2011,"29,600"
"Conecuh, AL",2011,"4,973"
"Coosa, AL",2011,"2,356"
"Covington, AL",2011,"18,053"
"Crenshaw, AL",2011,"5,901"
"Cullman, AL",2011,"37,778"
"Dale, AL",2011,"27,361"
"Dallas, AL",2011,"18,591"
"DeKalb, AL",2011,"30,835"
"Elmore, AL",2011,"28,608"
"Escambia, AL",2011,"17,174"
"Etowah, AL",2011,"48,421"
"Fayette, AL",2011,"5,778"
"Franklin, AL",2011,"14,533"
"Geneva, AL",2011,"8,951"
"Greene, AL",2011,"3,193"
"Hale, AL",2011,"5,049"
"Henry, AL",2011,"5,781"
"Houston, AL",2011,"62,193"
"Jackson, AL",2011,"23,951"
"Jefferson, AL",2011,"442,708"
"Lamar, AL",2011,"5,505"
"Lauderdale, AL",2011,"44,283"
"Lawrence, AL",2011,"10,979"
"Lee, AL",2011,"69,655"
"Limestone, AL",2011,"32,696"
"Lowndes, AL",2011,"4,633"
"Macon, AL",2011,"7,759"
"Madison, AL",2011,"233,995"
"Marengo, AL",2011,"9,855"
"Marion, AL",2011,"13,137"
"Marshall, AL",2011,"48,572"
"Mobile, AL",2011,"233,197"
"Monroe, AL",2011,"9,598"
"Montgomery, AL",2011,"171,253"
"Morgan, AL",2011,"62,450"
"Perry, AL",2011,"3,887"
"Pickens, AL",2011,"5,800"
"Pike, AL",2011,"18,571"
"Randolph, AL",2011,"7,573"
"Russell, AL",2011,"20,157"
"St. Clair, AL",2011,"25,734"
"Shelby, AL",2011,"105,616"
"Sumter, AL",2011,"5,308"
"Talladega, AL",2011,"34,499"
"Tallapoosa, AL",2011,"17,111"
"Tuscaloosa, AL",2011,"109,815"
"Walker, AL",2011,"25,468"
"Washington, AL",2011,"5,826"
"Wilcox, AL",2011,"4,436"
"Winston, AL",2011,"10,552"
"Aleutians East Borough, AK*",2011,"2,321"
"Aleutians West Census Area, AK*",2011,"4,279"
"Anchorage Municipality, AK",2011,"203,575"
