States,Year,Total Employments
Alabama,2011,"2,497,933"
Alaska,2011,"450,364"
Arizona,2011,"3,239,045"
Arkansas,2011,"1,561,948"
California,2011,"19,986,021"
Colorado,2011,"3,204,078"
Connecticut,2011,"2,206,269"
Delaware,2011,"530,400"
District of Columbia,2011,"826,761"
Florida,2011,"10,036,634"
Georgia,2011,"5,325,616"
Hawaii,2011,"835,012"
Idaho,2011,"878,541"
Illinois,2011,"7,376,100"
Indiana,2011,"3,590,196"
Iowa,2011,"1,975,960"
Kansas,2011,"1,819,044"
Kentucky,2011,"2,368,202"
Louisiana,2011,"2,564,944"
Maine,2011,"794,389"
Maryland,2011,"3,394,831"
Massachusetts,2011,"4,175,311"
Michigan,2011,"5,165,348"
Minnesota,2011,"3,469,201"
Mississippi,2011,"1,509,941"
Missouri,2011,"3,506,571"
Montana,2011,"623,175"
Nebraska,2011,"1,232,457"
Nevada,2011,"1,501,839"
New Hampshire,2011,"818,789"
New Jersey,2011,"5,018,505"
New Mexico,2011,"1,064,267"
New York,2011,"11,294,064"
North Carolina,2011,"5,292,814"
North Dakota,2011,"529,779"
Ohio,2011,"6,521,658"
Oklahoma,2011,"2,158,874"
Oregon,2011,"2,201,553"
Pennsylvania,2011,"7,217,098"
Rhode Island,2011,"591,692"
South Carolina,2011,"2,427,409"
South Dakota,2011,"566,480"
Tennessee,2011,"3,589,041"
Texas,2011,"14,681,432"
Utah,2011,"1,664,426"
Vermont,2011,"416,949"
Virginia,2011,"4,802,678"
Washington,2011,"3,814,305"
West Virginia,2011,"909,035"
Wisconsin,2011,"3,474,418"
Wyoming,2011,"390,303"
Alabama,2012,"2,503,678"
Alaska,2012,"459,222"
Arizona,2012,"3,295,537"
Arkansas,2012,"1,565,142"
California,2012,"20,666,908"
Colorado,2012,"3,262,925"
Connecticut,2012,"2,223,221"
Delaware,2012,"534,261"
District of Columbia,2012,"834,413"
Florida,2012,"10,249,024"
Georgia,2012,"5,384,572"
Hawaii,2012,"849,156"
Idaho,2012,"883,148"
Illinois,2012,"7,434,661"
Indiana,2012,"3,642,334"
Iowa,2012,"1,993,430"
Kansas,2012,"1,841,393"
Kentucky,2012,"2,389,363"
Louisiana,2012,"2,601,174"
Maine,2012,"796,903"
Maryland,2012,"3,438,880"
Massachusetts,2012,"4,253,327"
Michigan,2012,"5,234,473"
Minnesota,2012,"3,505,578"
Mississippi,2012,"1,519,719"
Missouri,2012,"3,528,129"
Montana,2012,"633,135"
Nebraska,2012,"1,251,258"
Nevada,2012,"1,519,198"
New Hampshire,2012,"824,361"
New Jersey,2012,"5,053,839"
New Mexico,2012,"1,067,211"
New York,2012,"11,432,840"
North Carolina,2012,"5,356,443"
North Dakota,2012,"567,388"
Ohio,2012,"6,605,931"
Oklahoma,2012,"2,211,773"
Oregon,2012,"2,219,899"
Pennsylvania,2012,"7,284,519"
Rhode Island,2012,"592,978"
South Carolina,2012,"2,453,282"
South Dakota,2012,"574,966"
Tennessee,2012,"3,635,195"
Texas,2012,"15,095,912"
Utah,2012,"1,706,060"
Vermont,2012,"421,809"
Virginia,2012,"4,856,886"
Washington,2012,"3,909,210"
West Virginia,2012,"918,927"
Wisconsin,2012,"3,499,405"
Wyoming,2012,"396,704"
Alabama,2013,"2,523,338"
Alaska,2013,"461,110"
Arizona,2013,"3,371,219"
Arkansas,2013,"1,569,249"
California,2013,"21,319,995"
Colorado,2013,"3,356,175"
Connecticut,2013,"2,246,561"
Delaware,2013,"544,797"
District of Columbia,2013,"848,226"
Florida,2013,"10,539,255"
Georgia,2013,"5,496,783"
Hawaii,2013,"868,122"
Idaho,2013,"902,866"
Illinois,2013,"7,503,158"
Indiana,2013,"3,684,125"
Iowa,2013,"2,019,480"
Kansas,2013,"1,869,054"
Kentucky,2013,"2,407,562"
Louisiana,2013,"2,641,657"
Maine,2013,"803,641"
Maryland,2013,"3,493,921"
Massachusetts,2013,"4,353,568"
Michigan,2013,"5,323,762"
Minnesota,2013,"3,556,487"
Mississippi,2013,"1,532,583"
Missouri,2013,"3,565,922"
Montana,2013,"641,917"
Nebraska,2013,"1,266,477"
Nevada,2013,"1,561,388"
New Hampshire,2013,"835,032"
New Jersey,2013,"5,132,846"
New Mexico,2013,"1,075,465"
New York,2013,"11,619,137"
North Carolina,2013,"5,437,125"
North Dakota,2013,"587,398"
Ohio,2013,"6,680,769"
Oklahoma,2013,"2,248,291"
Oregon,2013,"2,259,714"
Pennsylvania,2013,"7,350,854"
Rhode Island,2013,"602,429"
South Carolina,2013,"2,500,792"
South Dakota,2013,"581,384"
Tennessee,2013,"3,688,630"
Texas,2013,"15,529,989"
Utah,2013,"1,753,371"
Vermont,2013,"425,029"
Virginia,2013,"4,898,765"
Washington,2013,"3,991,724"
West Virginia,2013,"913,619"
Wisconsin,2013,"3,539,937"
Wyoming,2013,"400,402"
Alabama,2014,"2,551,872"
Alaska,2014,"461,327"
Arizona,2014,"3,448,173"
Arkansas,2014,"1,587,414"
California,2014,"21,997,098"
Colorado,2014,"3,467,519"
Connecticut,2014,"2,266,029"
Delaware,2014,"556,517"
District of Columbia,2014,"860,669"
Florida,2014,"10,937,166"
Georgia,2014,"5,670,735"
Hawaii,2014,"882,732"
Idaho,2014,"925,519"
Illinois,2014,"7,613,484"
Indiana,2014,"3,740,428"
Iowa,2014,"2,038,926"
Kansas,2014,"1,895,859"
Kentucky,2014,"2,440,072"
Louisiana,2014,"2,684,755"
Maine,2014,"810,868"
Maryland,2014,"3,537,654"
Massachusetts,2014,"4,447,626"
Michigan,2014,"5,412,041"
Minnesota,2014,"3,603,717"
Mississippi,2014,"1,556,753"
Missouri,2014,"3,596,751"
Montana,2014,"648,873"
Nebraska,2014,"1,282,745"
