GeoFips,County Name,2011,2012,2013,2014,2015,2016,2017,2018
1001,"Autauga, AL",17298,16421,16475,16858,17270,17431,17827,18115
1003,"Baldwin, AL",92000,93226,96471,99812,103915,107819,111990,115166
1005,"Barbour, AL",12359,12254,12157,11943,12061,11608,11676,11828
1007,"Bibb, AL",6249,6291,6505,6490,6433,6448,6377,6500
1009,"Blount, AL",14657,14475,14447,14251,14302,15157,15225,15551
1011,"Bullock, AL",3970,3900,4054,3969,4083,4139,4201,4119
1013,"Butler, AL",9382,9192,9297,9628,9655,9695,9548,9637
1015,"Calhoun, AL",60613,59998,58415,58093,58053,57686,58628,59020
1017,"Chambers, AL",12315,12254,12301,12456,12340,12430,12521,12650
1019,"Cherokee, AL",7741,7730,7997,8036,7979,8246,8248,8538
1021,"Chilton, AL",13256,13784,14190,14362,14446,14825,14682,14980
1023,"Choctaw, AL",5503,5513,5494,5294,5236,5189,5313,5675
1025,"Clarke, AL",12081,11982,11987,12044,12138,11911,11825,11866
1027,"Clay, AL",5550,5448,5451,5634,5757,5906,6051,6227
1029,"Cleburne, AL",4255,4183,4268,4284,4054,4242,4121,4122
1031,"Coffee, AL",20996,21132,21121,21243,21611,21991,22397,22669
1033,"Colbert, AL",29600,29770,30599,30935,31607,31677,31639,31805
1035,"Conecuh, AL",4973,4881,5197,5228,5248,5154,5165,5204
1037,"Coosa, AL",2356,2378,2260,2324,2321,2280,2350,2386
1039,"Covington, AL",18053,18240,18049,17947,17704,17803,17799,17785
1041,"Crenshaw, AL",5901,5756,5932,6099,6199,6263,6029,6004
1043,"Cullman, AL",37778,38058,38702,39228,40408,41553,41781,42074
1045,"Dale, AL",27361,26912,25989,25560,25356,25904,26193,26438
1047,"Dallas, AL",18591,17955,17685,17696,17991,17493,17296,17310
1049,"DeKalb, AL",30835,30454,31126,31295,31276,31601,31832,32641
1051,"Elmore, AL",28608,28926,29109,29930,30612,30782,31507,31709
1053,"Escambia, AL",17174,17076,17262,17612,17940,17914,18013,18034
1055,"Etowah, AL",48421,48495,48600,49568,49731,50598,50527,50804
1057,"Fayette, AL",5778,5871,5769,5703,5833,6091,6077,6084
1059,"Franklin, AL",14533,14366,14119,14253,14735,14599,14861,15213
1061,"Geneva, AL",8951,8890,8847,8811,8910,8750,8734,8862
1063,"Greene, AL",3193,3210,3107,3183,3101,3128,3144,3159
1065,"Hale, AL",5049,4989,4825,4852,4935,4918,5131,5140
1067,"Henry, AL",5781,5857,5810,5889,5977,5878,5855,5934
1069,"Houston, AL",62193,62003,62283,62555,63053,63073,63974,64607
1071,"Jackson, AL",23951,23587,23801,23706,23915,23566,23085,23281
1073,"Jefferson, AL",442708,446634,448365,453360,454802,460435,466262,475326
1075,"Lamar, AL",5505,5525,5517,5406,5470,5484,5443,5438
1077,"Lauderdale, AL",44283,43807,43306,43952,43528,43746,43934,44316
1079,"Lawrence, AL",10979,11149,11106,10116,9819,9642,9887,10015
1081,"Lee, AL",69655,71770,73933,76548,78203,80739,83721,84897
1083,"Limestone, AL",32696,33395,33870,34665,35537,35661,36810,37626
1085,"Lowndes, AL",4633,4334,4153,3897,3994,4160,4060,4070
1087,"Macon, AL",7759,7843,8018,7744,7577,7430,7511,7441
1089,"Madison, AL",233995,234476,237808,239904,245050,251311,257555,263764
1091,"Marengo, AL",9855,9470,9585,9731,9647,9860,10034,10054
1093,"Marion, AL",13137,13177,13263,13139,13348,13514,13694,13794
1095,"Marshall, AL",48572,48468,48833,48493,49838,50394,50967,51781
1097,"Mobile, AL",233197,229435,228792,231047,233946,236002,237073,239627
1099,"Monroe, AL",9598,9367,9286,9228,9129,9197,9242,9288
1101,"Montgomery, AL",171253,168950,169641,170508,170868,173138,174833,174400
1103,"Morgan, AL",62450,62349,62671,63217,63161,63608,64224,65753
1105,"Perry, AL",3887,3609,3575,3554,3710,3698,3743,3762
1107,"Pickens, AL",5800,6022,6103,6086,6081,6172,6230,6214
1109,"Pike, AL",18571,18523,18567,18747,18978,19085,19604,19590
1111,"Randolph, AL",7573,7513,7595,7731,8005,8021,8026,8072
1113,"Russell, AL",20157,20054,20591,20529,20458,20739,20977,21295
1115,"St. Clair, AL",25734,26669,27047,27652,28300,29508,30251,30613
1117,"Shelby, AL",105616,108992,112349,114922,121170,122977,125344,126450
1119,"Sumter, AL",5308,5243,5381,5250,5175,5188,5098,5052
1121,"Talladega, AL",34499,35086,36388,36651,37434,37287,37351,38168
1123,"Tallapoosa, AL",17111,17578,17610,17873,18477,19205,19013,18758
1125,"Tuscaloosa, AL",109815,112767,114332,118657,122313,123003,125219,127895
1127,"Walker, AL",25468,25634,25635,25797,25700,25204,25102,25540
1129,"Washington, AL",5826,5683,5668,5706,5834,5879,5806,5820
1131,"Wilcox, AL",4436,4155,4030,4234,4403,4396,4396,4398
1133,"Winston, AL",10552,10544,10619,10757,10745,10723,10936,11163
2013,"Aleutians East Borough, AK*",2321,2258,2399,2441,2640,2786,2700,2498
2016,"Aleutians West Census Area, AK*",4279,4387,4463,4592,4193,4182,3881,3768
2020,"Anchorage Municipality, AK",203575,208668,209374,208084,208212,205006,203929,204451
2050,"Bethel Census Area, AK*",8623,8670,8732,8662,8546,8223,8306,8333
