GeoFips,States,2011,2012,2013,2014,2015,2016,2017,2018
1000,Alabama,2497933,2503678,2523338,2551872,2586885,2619154,2653968,2691517
2000,Alaska,450364,459222,461110,461327,461767,457371,456799,459178
4000,Arizona,3239045,3295537,3371219,3448173,3548174,3646604,3751283,3859137
5000,Arkansas,1561948,1565142,1569249,1587414,1610779,1629237,1644432,1663188
6000,California,19986021,20666908,21319995,21997098,22686455,23165468,23610226,24218195
8000,Colorado,3204078,3262925,3356175,3467519,3574369,3668134,3768593,3864154
9000,Connecticut,2206269,2223221,2246561,2266029,2288017,2300054,2304746,2327354
10000,Delaware,530400,534261,544797,556517,568879,578596,586045,595526
11000,District of Columbia,826761,834413,848226,860669,873193,891451,902940,915637
12000,Florida,10036634,10249024,10539255,10937166,11366665,11673201,12130376,12462208
13000,Georgia,5325616,5384572,5496783,5670735,5832372,5971729,6140776,6274450
15000,Hawaii,835012,849156,868122,882732,901206,913190,920376,931153
16000,Idaho,878541,883148,902866,925519,949276,976418,1009682,1038735
17000,Illinois,7376100,7434661,7503158,7613484,7748883,7799593,7839160,7952370
18000,Indiana,3590196,3642334,3684125,3740428,3796375,3847261,3912817,3967404
19000,Iowa,1975960,1993430,2019480,2038926,2059398,2066052,2066284,2087993
20000,Kansas,1819044,1841393,1869054,1895859,1910809,1916297,1917326,1941000
21000,Kentucky,2368202,2389363,2407562,2440072,2473302,2498410,2524927,2549975
22000,Louisiana,2564944,2601174,2641657,2684755,2695547,2690552,2701947,2733239
23000,Maine,794389,796903,803641,810868,816598,826651,836117,848459
24000,Maryland,3394831,3438880,3493921,3537654,3602938,3656163,3702196,3762122
25000,Massachusetts,4175311,4253327,4353568,4447626,4631324,4709778,4788192,4872851
26000,Michigan,5165348,5234473,5323762,5412041,5501054,5575128,5643225,5728602
27000,Minnesota,3469201,3505578,3556487,3603717,3662971,3698363,3743706,3795762
28000,Mississippi,1509941,1519719,1532583,1556753,1568187,1580050,1593678,1605827
29000,Missouri,3506571,3528129,3565922,3596751,3654912,3700536,3742873,3779836
30000,Montana,623175,633135,641917,648873,660326,667552,675503,685116
31000,Nebraska,1232457,1251258,1266477,1282745,1302888,1311043,1320856,1335240
32000,Nevada,1501839,1519198,1561388,1608494,1664121,1723954,1782895,1843815
33000,New Hampshire,818789,824361,835032,844499,860597,873180,883500,894943
34000,New Jersey,5018505,5053839,5132846,5206784,5302982,5391704,5464627,5557626
35000,New Mexico,1064267,1067211,1075465,1083772,1091984,1092637,1097669,1115574
36000,New York,11294064,11432840,11619137,11865518,12099078,12258958,12408724,12692603
37000,North Carolina,5292814,5356443,5437125,5568662,5695077,5828879,5933790,6055208
38000,North Dakota,529779,567388,587398,606989,597475,576615,575020,581856
39000,Ohio,6521658,6605931,6680769,6771468,6862067,6932002,7005100,7092980
40000,Oklahoma,2158874,2211773,2248291,2272885,2286956,2286070,2294185,2330982
41000,Oregon,2201553,2219899,2259714,2323122,2390658,2449802,2522273,2582370
42000,Pennsylvania,7217098,7284519,7350854,7434313,7510216,7593573,7677266,7798395
44000,Rhode Island,591692,592978,602429,613133,627000,632399,639244,648340
45000,South Carolina,2427409,2453282,2500792,2564448,2636675,2699902,2766293,2842433
46000,South Dakota,566480,574966,581384,589296,592665,597372,603150,611638
47000,Tennessee,3589041,3635195,3688630,3772332,3858802,3950400,4041451,4119516
48000,Texas,14681432,15095912,15529989,16000512,16413328,16684682,17159034,17598844
49000,Utah,1664426,1706060,1753371,1803953,1866146,1933657,1997317,2060938
50000,Vermont,416949,421809,425029,428938,432641,433808,436990,440670
51000,Virginia,4802678,4856886,4898765,4953354,5060545,5142525,5229218,5325308
53000,Washington,3814305,3909210,3991724,4094309,4198931,4310239,4441946,4560332
54000,West Virginia,909035,918927,913619,911516,903866,889595,890055,903962
55000,Wisconsin,3474418,3499405,3539937,3585838,3624387,3657646,3686510,3736429
56000,Wyoming,390303,396704,400402,406343,406054,398265,399994,405010
